character,pinyin,meaning,visual_category,prompt_hint,usable_for_image
山,shān,mountain; hill; peak,landscape,towering ink-wash mountain peaks,yes
水,shuǐ,water; liquid,water,flowing river water with soft ripples,yes
河,hé,river; stream; Yellow River,water,winding river or stream,yes
江,jiāng,large river; Yangzi,water,wide flowing river,yes
海,hǎi,sea; ocean; maritime,water,vast ocean or sea,yes
湖,hú,lake; Hubei; Hunan,water,quiet lake surface,yes
波,bō,waves; breakers; undulations,water,rolling waves,yes
浪,làng,wave; reckless; wasteful,water,large curling wave,yes
泉,quán,spring; fountain; wealth,water,clear spring or fountain,yes
池,chí,pool; pond; moat; cistern,water,small pond or pool,yes
港,gǎng,port; harbor; bay; small stream,water,harbor or port by water,yes
湾,wān,bay; cove; inlet; bend of stream,water,curving bay or inlet,yes
岛,dǎo,island,landscape,small island in water,yes
岸,àn,bank; shore; beach; coast,landscape,shoreline or river bank,yes
峰,fēng,peak; summit; camel hump,landscape,sharp mountain summit,yes
石,shí,stone; rock; mineral,landscape,rocks and stone forms,yes
土,tǔ,soil; earth; items made of earth,landscape,earthy ground or soil,yes
地,dì,earth; soil; ground; region,landscape,ground or earth terrain,yes
田,tián,field; arable land; cultivated,landscape,cultivated field,yes
野,yě,open country; field; wilderness,landscape,open wilderness field,yes
村,cūn,village; hamlet,place,small village or hamlet,yes
林,lín,forest; grove,plant,forest grove,yes
森,sēn,forest; luxuriant vegetation,plant,dense forest,yes
木,mù,tree; wood; lumber; wooden,plant,tree or wood form,yes
树,shù,tree; plant; set up,plant,standing tree,yes
竹,zhú,bamboo; flute,plant,bamboo stalks,yes
草,cǎo,grass; straw; thatch; herbs,plant,grass and herbs,yes
花,huā,flower; blossoms,plant,flower blossoms,yes
梅,méi,plums; prunes; surname,plant,plum blossoms,yes
兰,lán,orchid; elegant; graceful,plant,orchid flowers,yes
莲,lián,lotus; water lily,plant,lotus or water lily,yes
松,sōng,pine; loose; loosen; relax,plant,pine tree branches,yes
柳,liǔ,willow; poplar; aspen,plant,willow tree,yes
桑,sāng,mulberry tree,plant,mulberry tree,yes
桃,táo,peach; marriage; surname,plant,peach tree or peach blossoms,yes
麦,mài,wheat; barley; oats,plant,wheat or grain field,yes
米,mǐ,uncooked rice,food,rice grains,yes
豆,dòu,beans; peas,food,beans or peas,yes
果,guǒ,fruit; result,food,fruit,yes
菜,cài,vegetables; dish; food,food,vegetables,yes
茶,chá,tea,food,tea leaves or teacup,yes
天,tiān,sky; heaven; celestial,sky,wide open sky,yes
日,rì,sun; day; daytime,sky,pale sun,yes
月,yuè,moon; month,sky,moon in sky,yes
